,URL,Volation Type,Impact,Help,HTML Element,Messages,DOM Element,Govtech Priority,WCAG Mapping
22,https://www.designsystem.gov.sg/guides/developers-color-contrast/,list,serious,https://dequeuniversity.com/rules/axe/2.6/list?application=webdriverjs,"<ul class=""sgds-menu-list"">",,.sidebar__inner.sgds-menu > ul.sgds-menu-list,4.0,1.3.1 Info and Relationships (Level A)
20,https://www.designsystem.gov.sg/guides/developers-color-contrast/,duplicate-id,moderate,https://dequeuniversity.com/rules/axe/2.6/duplicate-id?application=webdriverjs,"<input class=""input is-fullwidth is-borderless is-shadowless"" id=""search"" type=""text"" placeholder=""What are you looking for?"" name=""search"" autocomplete=""off"" aria-label=""search"">",Document has multiple elements with the same id attribute: search,"#navbarMain > .sgds-navbar-start > form > div > div:nth-child(1) > input[type=""text""]",1.0,4.1.1 Parsing (Level A)
5,https://www.designsystem.gov.sg/guides/developers-accessibility/,button-name,critical,https://dequeuniversity.com/rules/axe/2.6/button-name?application=webdriverjs,"<button id=""main-search"" class=""sgds-button is-white is-large search-toggle"" data-target=""searchbar-main"" type=""button"">","Element has a value attribute and the value attribute is empty--Element has no value attribute or the value attribute is empty--Element does not have inner text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element's default semantics were not overridden with role=""presentation""--Element's default semantics were not overridden with role=""none""",#main-search,20.0,"4.1.2 Name, Role, Value (Level A)"
9,https://www.designsystem.gov.sg/guides/developers-accessibility/,meta-viewport,critical,https://dequeuniversity.com/rules/axe/2.6/meta-viewport?application=webdriverjs,"<meta name=""viewport"" content=""width=device-width- user-scalable=no- initial-scale=1.0- maximum-scale=1.0- minimum-scale=1.0"">",<meta> tag disables zooming on mobile devices,"head > meta[name=""viewport""]",12.0,1.4.4 Resize text (Level AA)
8,https://www.designsystem.gov.sg/guides/developers-accessibility/,list,serious,https://dequeuniversity.com/rules/axe/2.6/list?application=webdriverjs,"<ul class=""sgds-menu-list"">",,.sidebar__inner.sgds-menu > ul.sgds-menu-list,4.0,1.3.1 Info and Relationships (Level A)
7,https://www.designsystem.gov.sg/guides/developers-accessibility/,landmark-one-main,moderate,https://dequeuniversity.com/rules/axe/2.6/landmark-one-main?application=webdriverjs,"<html lang=""en"">",,html,2.0,
6,https://www.designsystem.gov.sg/guides/developers-accessibility/,duplicate-id,moderate,https://dequeuniversity.com/rules/axe/2.6/duplicate-id?application=webdriverjs,"<input class=""input is-fullwidth is-borderless is-shadowless"" id=""search"" type=""text"" placeholder=""What are you looking for?"" name=""search"" autocomplete=""off"" aria-label=""search"">",Document has multiple elements with the same id attribute: search,"#navbarMain > .sgds-navbar-start > form > div > div:nth-child(1) > input[type=""text""]",1.0,4.1.1 Parsing (Level A)
11,https://www.designsystem.gov.sg/guides/designers-sketch-kit/,button-name,critical,https://dequeuniversity.com/rules/axe/2.6/button-name?application=webdriverjs,"<button id=""main-search"" class=""sgds-button is-white is-large search-toggle"" data-target=""searchbar-main"" type=""button"">","Element has a value attribute and the value attribute is empty--Element has no value attribute or the value attribute is empty--Element does not have inner text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element's default semantics were not overridden with role=""presentation""--Element's default semantics were not overridden with role=""none""",#main-search,20.0,"4.1.2 Name, Role, Value (Level A)"
17,https://www.designsystem.gov.sg/guides/designers-sketch-kit/,meta-viewport,critical,https://dequeuniversity.com/rules/axe/2.6/meta-viewport?application=webdriverjs,"<meta name=""viewport"" content=""width=device-width- user-scalable=no- initial-scale=1.0- maximum-scale=1.0- minimum-scale=1.0"">",<meta> tag disables zooming on mobile devices,"head > meta[name=""viewport""]",12.0,1.4.4 Resize text (Level AA)
13,https://www.designsystem.gov.sg/guides/designers-sketch-kit/,image-alt,critical,https://dequeuniversity.com/rules/axe/2.6/image-alt?application=webdriverjs,"<img src=""/assets/img/img_uikit.png"" class=""padding--bottom padding--top"">","Element does not have an alt attribute--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element has no title attribute or the title attribute is empty--Element's default semantics were not overridden with role=""presentation""--Element's default semantics were not overridden with role=""none""",.content.has-default-header-styles > img.padding--bottom.padding--top,8.0,1.1.1 Non-text Content (Level A)
14,https://www.designsystem.gov.sg/guides/designers-sketch-kit/,image-alt,critical,https://dequeuniversity.com/rules/axe/2.6/image-alt?application=webdriverjs,"<img src=""/assets/img/logo_sketch.svg"" width=""30%"" height=""auto"" class=""padding--bottom--lg padding--top--lg"">","Element does not have an alt attribute--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element has no title attribute or the title attribute is empty--Element's default semantics were not overridden with role=""presentation""--Element's default semantics were not overridden with role=""none""",.content.has-default-header-styles > img.padding--bottom--lg.padding--top--lg,8.0,1.1.1 Non-text Content (Level A)
16,https://www.designsystem.gov.sg/guides/designers-sketch-kit/,list,serious,https://dequeuniversity.com/rules/axe/2.6/list?application=webdriverjs,"<ul class=""sgds-menu-list"">",,.sidebar__inner.sgds-menu > ul.sgds-menu-list,4.0,1.3.1 Info and Relationships (Level A)
15,https://www.designsystem.gov.sg/guides/designers-sketch-kit/,landmark-one-main,moderate,https://dequeuniversity.com/rules/axe/2.6/landmark-one-main?application=webdriverjs,"<html lang=""en"">",,html,2.0,
12,https://www.designsystem.gov.sg/guides/designers-sketch-kit/,duplicate-id,moderate,https://dequeuniversity.com/rules/axe/2.6/duplicate-id?application=webdriverjs,"<input class=""input is-fullwidth is-borderless is-shadowless"" id=""search"" type=""text"" placeholder=""What are you looking for?"" name=""search"" autocomplete=""off"" aria-label=""search"">",Document has multiple elements with the same id attribute: search,"#navbarMain > .sgds-navbar-start > form > div > div:nth-child(1) > input[type=""text""]",1.0,4.1.1 Parsing (Level A)
32,https://www.designsystem.gov.sg/guides/designers-accessibility/,button-name,critical,https://dequeuniversity.com/rules/axe/2.6/button-name?application=webdriverjs,"<button id=""main-search"" class=""sgds-button is-white is-large search-toggle"" data-target=""searchbar-main"" type=""button"">","Element has a value attribute and the value attribute is empty--Element has no value attribute or the value attribute is empty--Element does not have inner text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element's default semantics were not overridden with role=""presentation""--Element's default semantics were not overridden with role=""none""",#main-search,20.0,"4.1.2 Name, Role, Value (Level A)"
36,https://www.designsystem.gov.sg/guides/designers-accessibility/,meta-viewport,critical,https://dequeuniversity.com/rules/axe/2.6/meta-viewport?application=webdriverjs,"<meta name=""viewport"" content=""width=device-width- user-scalable=no- initial-scale=1.0- maximum-scale=1.0- minimum-scale=1.0"">",<meta> tag disables zooming on mobile devices,"head > meta[name=""viewport""]",12.0,1.4.4 Resize text (Level AA)
35,https://www.designsystem.gov.sg/guides/designers-accessibility/,list,serious,https://dequeuniversity.com/rules/axe/2.6/list?application=webdriverjs,"<ul class=""sgds-menu-list"">",,.sidebar__inner.sgds-menu > ul.sgds-menu-list,4.0,1.3.1 Info and Relationships (Level A)
34,https://www.designsystem.gov.sg/guides/designers-accessibility/,landmark-one-main,moderate,https://dequeuniversity.com/rules/axe/2.6/landmark-one-main?application=webdriverjs,"<html lang=""en"">",,html,2.0,
33,https://www.designsystem.gov.sg/guides/designers-accessibility/,duplicate-id,moderate,https://dequeuniversity.com/rules/axe/2.6/duplicate-id?application=webdriverjs,"<input class=""input is-fullwidth is-borderless is-shadowless"" id=""search"" type=""text"" placeholder=""What are you looking for?"" name=""search"" autocomplete=""off"" aria-label=""search"">",Document has multiple elements with the same id attribute: search,"#navbarMain > .sgds-navbar-start > form > div > div:nth-child(1) > input[type=""text""]",1.0,4.1.1 Parsing (Level A)
0,https://www.designsystem.gov.sg/guides/,button-name,critical,https://dequeuniversity.com/rules/axe/2.6/button-name?application=webdriverjs,"<button id=""main-search"" class=""sgds-button is-white is-large search-toggle"" data-target=""searchbar-main"" type=""button"">","Element has a value attribute and the value attribute is empty--Element has no value attribute or the value attribute is empty--Element does not have inner text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element's default semantics were not overridden with role=""presentation""--Element's default semantics were not overridden with role=""none""",#main-search,20.0,"4.1.2 Name, Role, Value (Level A)"
3,https://www.designsystem.gov.sg/guides/,meta-viewport,critical,https://dequeuniversity.com/rules/axe/2.6/meta-viewport?application=webdriverjs,"<meta name=""viewport"" content=""width=device-width- user-scalable=no- initial-scale=1.0- maximum-scale=1.0- minimum-scale=1.0"">",<meta> tag disables zooming on mobile devices,"head > meta[name=""viewport""]",12.0,1.4.4 Resize text (Level AA)
2,https://www.designsystem.gov.sg/guides/,landmark-one-main,moderate,https://dequeuniversity.com/rules/axe/2.6/landmark-one-main?application=webdriverjs,"<html lang=""en"">",,html,2.0,
1,https://www.designsystem.gov.sg/guides/,duplicate-id,moderate,https://dequeuniversity.com/rules/axe/2.6/duplicate-id?application=webdriverjs,"<input class=""input is-fullwidth is-borderless is-shadowless"" id=""search"" type=""text"" placeholder=""What are you looking for?"" name=""search"" autocomplete=""off"" aria-label=""search"">",Document has multiple elements with the same id attribute: search,"#navbarMain > .sgds-navbar-start > form > div > div:nth-child(1) > input[type=""text""]",1.0,4.1.1 Parsing (Level A)
