URL,Volation Type,Impact,Help,HTML Element,Messages,DOM Element
https://www.designsystem.gov.sg/docs/installation/,button-name,critical,https://dequeuniversity.com/rules/axe/2.6/button-name?application=webdriverjs,<button id="main-search" class="sgds-button is-white is-large search-toggle" data-target="searchbar-main" type="button">,Element has a value attribute and the value attribute is empty--Element has no value attribute or the value attribute is empty--Element does not have inner text that is visible to screen readers--aria-label attribute does not exist or is empty--aria-labelledby attribute does not exist- references elements that do not exist or references elements that are empty or not visible--Element's default semantics were not overridden with role="presentation"--Element's default semantics were not overridden with role="none",#main-search
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="c">&lt;!-- jsDelivr --&gt;</span>,Element has insufficient color contrast of 2.65 (foreground color: #999988- background color: #f5f5f5- font size: 10.5pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > figure:nth-child(4) > pre > code > span:nth-child(2)
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="na">rel=</span>,Element has insufficient color contrast of 4.37 (foreground color: #008080- background color: #f5f5f5- font size: 10.5pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > figure:nth-child(4) > pre > code > span:nth-child(4)
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="na">href=</span>,Element has insufficient color contrast of 4.37 (foreground color: #008080- background color: #f5f5f5- font size: 10.5pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > figure:nth-child(4) > pre > code > span:nth-child(6)
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="c">&lt;!-- Or unpkg --&gt;</span>,Element has insufficient color contrast of 2.65 (foreground color: #999988- background color: #f5f5f5- font size: 10.5pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > figure:nth-child(4) > pre > code > span:nth-child(9)
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="na">rel=</span>,Element has insufficient color contrast of 4.37 (foreground color: #008080- background color: #f5f5f5- font size: 10.5pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > figure:nth-child(4) > pre > code > span:nth-child(11)
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="na">href=</span>,Element has insufficient color contrast of 4.37 (foreground color: #008080- background color: #f5f5f5- font size: 10.5pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > figure:nth-child(4) > pre > code > span:nth-child(13)
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="c">&lt;!-- Make sure jQuery is loaded before sgds.js --&gt;</span>,Element has insufficient color contrast of 2.65 (foreground color: #999988- background color: #f5f5f5- font size: 10.5pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > figure:nth-child(7) > pre > code > span:nth-child(2)
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="na">src=</span>,Element has insufficient color contrast of 4.37 (foreground color: #008080- background color: #f5f5f5- font size: 10.5pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > figure:nth-child(7) > pre > code > span:nth-child(4)
https://www.designsystem.gov.sg/docs/installation/,color-contrast,serious,https://dequeuniversity.com/rules/axe/2.6/color-contrast?application=webdriverjs,<span class="c">&lt;!-- jsDelivr --&gt;</span>,Element has insufficient color contrast of 2.65 (foreground color: #999988- background color: #f5f5f5- font size: 10.5pt- font weight: normal). Expected contrast ratio of 4.5:1,html > body > .content-page > section > .sgds-container > .row.sidenav-container > div:nth-child(2) > .content.has-default-header-styles > figure:nth-child(7) > pre > code > span:nth-child(7)
